order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
280d2a8c-f758-4cba-803f-b2d64b120e26,463b215e-8ea0-4f5d-8da3-1f70fd1fa6d4,Grant Greene,a3a39b32-3011-4ff8-a317-a2adcc33cbb2,Tennis Racket,Sports,Internet Banking,8,228.09,2024-03-31 04:22:19,UK,London,Amazon,a89433e4-fcc5-4b61-b3bd-1a38039fcbf9,N,Payment gateway timeout
7351b47e-18ff-4f8c-9479-db6c1dd00e08,baa09b8a-4500-44de-8a5d-2fe066b483de,Vanessa Morgan,f1a889ba-10bf-4717-a187-8429d9bb01e5,Sneakers,Clothing,UPI,1,138.36,2021-02-26 04:53:55,Canada,Calgary,Amazon,3e41de94-980e-45fa-be1a-d9f58518a3c3,Y,
768d72f2-36b8-4550-8f6a-a1b580c61682,01448eba-f5b4-4cdd-89ff-c0427791365b,Austin Moore,198035ae-237a-4f68-9e8a-bad4fd8282ff,Cookbook,Books,Internet Banking,5,430.8,2021-01-21 10:18:30,Brazil,Salvador,Meesho,a28601fe-5973-4920-97f6-a27d66ee9577,Y,
afa1732c-b1c4-498b-b7d6-5f692964d479,9cc0c1c7-8294-4799-8c24-7759138e410c,Rachel James,cd25a75e-36e2-4be6-bf6a-a76c6221eff8,Tablet,Electronics,UPI,2,400.07,2021-08-31 08:36:18,Canada,Toronto,Meesho,31e88a73-f0fe-4943-9cc2-4a1e086a48da,Y,
8e258bec-a284-43f6-9c53-c7c10beee870,4d92f12b-6321-49c8-bf17-64280f682a7d,Jessica Baker,991584aa-1371-4001-b84f-e4b39e80cfb1,Golf Club,Sports,Internet Banking,7,329.39,2020-01-25 02:52:00,Germany,Stuttgart,Amazon,63927698-1c25-41c8-8222-f65bff829c76,Y,
36a8976a-226a-4be0-a40d-993f76f54e4b,c1dd8e03-e7b9-413b-9314-14c0fb1e3ea4,Ann Williams,8588ec17-6db3-4948-a22d-221726645b66,Sneakers,Clothing,UPI,5,206.96,2020-05-17 15:08:56,USA,New York,Amazon,67e8f0d5-41ae-4f5f-9143-c0694bae8d57,N,Incorrect OTP
85358a20-0c8d-41fb-b8c2-478f6f43eceb,2c69800c-dc91-45ec-8ccc-7a128656d2a4,Louis Brewer,d4c6a721-5cca-4a10-a4cb-89f94cab2d5e,Cookbook,Books,Internet Banking,3,293.23,2020-09-29 05:05:11,Brazil,São Paulo,Myntra,9e57d184-e3ea-48cc-a23d-3ae7c1de358d,N,Exceeded transaction limit
5a45509c-fd18-4bb4-9a60-474d73b9068a,a73f0a19-00d2-4a79-b19e-eba91a138e22,Benjamin Webb,c249b409-02b1-4b7f-8724-e49d2a203ec4,Tennis Racket,Sports,UPI,8,129.54,2023-10-09 09:40:54,UK,Liverpool,Meesho,816fdf1d-323f-4d88-8116-ad6433cc474e,Y,
2fbbd2bb-5215-4ee5-bd38-cb28f1347f5d,2c9252b1-f333-4d49-9e19-d2f938291a1d,Deborah Stewart,3a9ab526-324f-4061-ba1f-4c05dd392708,Vegetables,Grocery,card,3,327.58,2022-04-10 10:21:14,India,Bangalore,Amazon,d718fefd-c226-4fcb-861e-932ff9f57fad,N,Invalid card details
5e31f0bc-19c7-4d1c-9da1-01b03199c89d,3d3963a7-e0ef-4fb7-823f-220c1f29e54e,Janice Calderon,bd8e4426-d997-4065-a9b6-3271d2ea547d,Vegetables,Grocery,card,8,361.63,2021-05-20 17:39:08,UK,Birmingham,Flipkart,0103daa9-345d-42b3-99bb-806bef6d02b0,N,Fraud suspected
2b1a68b2-a4f5-4e36-b18f-0c50adbdaf5b,50ca1449-596b-4042-8261-befd85f4b523,Faith Robinson,34cbf77d-fcb1-434e-9790-f6ee06b68ae4,Textbook,Books,Internet Banking,2,75.14,2022-01-01 17:27:58,UK,London,Amazon,aeea0c65-7368-4ee1-ac60-dd320a2046e1,Y,
88d71dcf-7928-42b1-892a-d146784cd3ab,b2627439-0cc8-4bb5-8c21-0686de880b84,Christopher Jensen,4298aa30-e6be-4e49-809b-d17eb0c00dbb,Sofa,Furniture,Unknown,0,-100.0,2020-05-15 09:16:11,Unknown,Unknown,Meesho,ecbc2fd1-02c1-4636-8547-7e20ad93ebe6,Y,
